aliases,created,created_by_ref,description,external_references,goals,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,pattern_version,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from,x_capabilities
,2026-01-20T20:16:26.551682Z,,Seqrite Labs is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,organization,,,,,2026-01-20T20:16:26.551682Z,Seqrite Labs,,,,,,2.1,,,identity,,
,2026-01-20T20:16:26.551682Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,,2026-01-20T20:16:26.551682Z,TI Mindmap HUB,,,,,,2.1,,,identity,,
,2026-01-20T20:16:28.203043Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: ipv4 - 181.231.253.69
Confidence: high
Notes: Default fallback Command-and-Control server used by the Rust-based RAT for persistent remote access and modular post-exploitation commands.",,,indicator--43f5a90b-819d-4698-af82-b6bad8727666,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.203043Z,IPV4: 181.231.253.69,[ipv4-addr:value = '181.231.253.69'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.203043Z,
,2026-01-20T20:16:28.203412Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - dc802b8c117a48520a01c98c6c9587b5
Confidence: high
Notes: MD5 hash of the weaponized Windows shortcut (.LNK) file used to initiate the infection chain and execute the BAT loader script via PowerShell.",,,indicator--c0306935-c395-45d2-b67f-32f3321fdeaa,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.203412Z,MD5: dc802b8c117a48520a01c98c6c9587b5,[file:hashes.'MD5' = 'dc802b8c117a48520a01c98c6c9587b5'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.203412Z,
,2026-01-20T20:16:28.205205Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 45f2a677b3bf994a8f771e611bb29f4f
Confidence: high
Notes: MD5 hash of the ZIP archive delivered via spear-phishing email, containing the LNK file, BAT loader, and judicial-themed PDF decoy.",,,indicator--09e6fd72-b453-4498-97f1-b2049b5a2834,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205205Z,MD5: 45f2a677b3bf994a8f771e611bb29f4f,[file:hashes.'MD5' = '45f2a677b3bf994a8f771e611bb29f4f'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205205Z,
,2026-01-20T20:16:28.205505Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 02f85c386f67fac09629ebe5684f7fa0
Confidence: high
Notes: MD5 hash of the BAT file responsible for downloading and executing the second-stage RAT payload from a remote source.",,,indicator--ecc88de6-a540-4eb8-a7d5-69f342daf62a,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205505Z,MD5: 02f85c386f67fac09629ebe5684f7fa0,[file:hashes.'MD5' = '02f85c386f67fac09629ebe5684f7fa0'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205505Z,
,2026-01-20T20:16:28.205883Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 976b6fce10456f0be6409ff724d7933b
Confidence: high
Notes: MD5 hash of msedge_proxy.exe, the Rust-based Remote Access Trojan deployed for persistent access, anti-analysis, and C2 communication.",,,indicator--a743ecc9-8fd4-4f8c-968a-3cf7143af9ea,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205883Z,MD5: 976b6fce10456f0be6409ff724d7933b,[file:hashes.'MD5' = '976b6fce10456f0be6409ff724d7933b'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205883Z,
,2026-01-20T20:16:28.206278Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 233a9dbcfe4ae348c0c7f4c2defd1ea5
Confidence: high
Notes: MD5 hash of the PDF decoy document used for social engineering and to disguise the malicious payload delivery.",,,indicator--1eb51310-fd63-41ce-9837-453025b2c24e,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.206278Z,MD5: 233a9dbcfe4ae348c0c7f4c2defd1ea5,[file:hashes.'MD5' = '233a9dbcfe4ae348c0c7f4c2defd1ea5'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.206278Z,
,2026-01-20T20:16:28.210866Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKCU\Software\Microsoft\Windows\CurrentVersion\Run
Confidence: medium
Notes: Registry key abused by the RAT for persistence via Run key values with randomized legitimate-looking names.",,,indicator--0e1a0bc3-acd9-4478-a67e-decdbcb45207,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.210866Z,WINDOWS-REGISTRY-KEY: HKCU\Software\Microsoft\Windows\CurrentVersion\Run,[windows-registry-key:key = 'HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.210866Z,
,2026-01-20T20:16:28.212022Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKLM\SOFTWARE\VMware, Inc.\VMware Tools
Confidence: medium
Notes: Registry key checked by the RAT to detect VMware virtual environments and evade analysis.",,,indicator--b7d90829-e1d3-415a-9bbb-01c386c127b9,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.212022Z,"WINDOWS-REGISTRY-KEY: HKLM\SOFTWARE\VMware, Inc.\VMware Tools","[windows-registry-key:key = 'HKLM\\SOFTWARE\\VMware, Inc.\\VMware Tools']",stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.212022Z,
