aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-17T16:24:52.125929Z,,Darktrace is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,organization,,,,2026-01-17T16:24:52.125929Z,Darktrace,,,2.1,,,identity,
,2026-01-17T16:24:52.125929Z,,Signe Zaharka is the primary author of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--c8384a3b-1160-aaea-5d44-b360ff69bde7,individual,,,,2026-01-17T16:24:52.125929Z,Signe Zaharka,,,2.1,,,identity,
,2026-01-17T16:24:52.125929Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T16:24:52.125929Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-17T16:25:12.322442Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa ransomware actors frequently gain initial access to victim environments by exploiting vulnerabilities in remote monitoring and management (RMM) tools. Specifically, they target unpatched or misconfigured SimpleHelp RMM servers (CVE-2024-57726, CVE-2024-57727, CVE-2024-57728), ConnectWise ScreenConnect (CVE-2024-1709), and other RMM platforms. By leveraging these flaws, the attackers bypass authentication or gain elevated privileges, allowing them to infiltrate the network without needing to rely on phishing or stolen credentials. This approach is highly effective due to the widespread deployment of RMM tools and the critical access they provide to IT infrastructure.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1190/"", ""external_id"": ""T1190""}]",,attack-pattern--53349efe-ad07-8c98-465a-1735036d8de8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:12.322442Z,Initial Access via Exploitation of RMM Vulnerabilities,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.322561Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa actors often collaborate with initial access brokers (IABs) who sell access to compromised devices or accounts. These brokers typically obtain access through phishing, credential stuffing, or brute-force attacks. Medusa leverages this purchased access to bypass traditional perimeter defenses and immediately begin post-compromise activities. This outsourcing of initial compromise enables rapid scaling and diversification of targets, as the ransomware operators do not need to conduct the initial intrusion themselves.",,,attack-pattern--c6f83e59-cef6-fc08-c04b-4dc95475d887,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:25:12.322561Z,Abuse of Purchased Access from Initial Access Brokers,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.323153Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"After gaining access to SimpleHelp management servers, Medusa threat actors edit server configuration files to redirect existing SimpleHelp RMM agents to communicate with unauthorized servers under their control. This technique allows the attackers to maintain persistent access to compromised endpoints, even if the initial infection vector is remediated. By hijacking legitimate RMM infrastructure, they blend in with normal administrative activity and evade detection, ensuring long-term access for further malicious operations.",,,attack-pattern--db6fd45c-82b0-2e1e-d367-40076ee9cf0f,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T16:25:12.323153Z,Persistence via RMM Agent Reconfiguration,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.323308Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa utilizes legitimate RMM tools such as SimpleHelp and Atera for command and control (C2) operations. By leveraging these platforms, the attackers can issue commands, transfer files, and control compromised systems remotely. The use of legitimate software allows them to evade network-based detection mechanisms, as traffic to RMM servers is typically permitted and considered benign. This technique is particularly effective in environments where RMM tools are widely used for IT support and maintenance.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1219/"", ""external_id"": ""T1219""}]",,attack-pattern--1d74e0bd-50d8-89e8-14a9-2cfac7644e3d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T16:25:12.323308Z,Command and Control via Legitimate RMM Tools,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.323453Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Once inside a network, Medusa actors use RMM tools to move laterally between systems. By exploiting the administrative capabilities of platforms like SimpleHelp, they can access additional endpoints, deploy ransomware payloads, and expand their foothold within the organization. This method allows for stealthy lateral movement, as actions performed via RMM tools often mimic legitimate IT operations and are less likely to trigger security alerts.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1021/004/"", ""external_id"": ""T1021.004""}]",,attack-pattern--4618cdb0-d3d1-18d0-cadd-bd7e25fb16c0,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""lateral-movement""}]",,2026-01-17T16:25:12.323453Z,Lateral Movement Using RMM Functionality,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.323749Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa ransomware operators use RMM tools not only for persistence and control but also for data exfiltration. By leveraging the file transfer capabilities of SimpleHelp and similar platforms, they can extract sensitive data from victim networks without raising suspicion. This technique exploits the trusted nature of RMM traffic and allows attackers to bypass traditional data loss prevention controls.",,,attack-pattern--e207fb08-e390-62d1-f725-96d8419ad08d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-17T16:25:12.323749Z,Data Exfiltration via RMM Channels,,,2.1,,,attack-pattern,
,2026-01-17T16:25:12.328528Z,identity--012332b1-72ac-6bf3-46d9-fe661901fcd2,"Medusa employs a triple extortion model, going beyond traditional ransomware tactics. After encrypting data, they threaten victims with public data leaks and apply additional pressure through distributed denial-of-service (DDoS) attacks or by contacting the victim’s customers directly. This multi-pronged approach increases the likelihood of ransom payment by targeting both the organization’s operations and reputation, as well as its relationships with external stakeholders.",,,attack-pattern--b87fdd7b-fff7-ffe0-8539-2965d3d79cf4,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""impact""}]",,2026-01-17T16:25:12.328528Z,"Triple Extortion: Encryption, Data Leak Threats, and DDoS/Customer Contact",,,2.1,,,attack-pattern,
