aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-18T20:27:32.586507Z,,360高级威胁研究院 is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,organization,,,,2026-01-18T20:27:32.586507Z,360高级威胁研究院,,,2.1,,,identity,
,2026-01-18T20:27:32.586507Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-18T20:27:32.586507Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-18T20:27:50.711356Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"APT-C-06 (DarkHotel) initiates its attack by distributing trojanized installers, such as 'hana9.30_x64_9.exe' and 'winrar-x64-540.exe', through widely used platforms including Baidu Netdisk, WeChat, and physical USB drives. These installers masquerade as legitimate applications (e.g., North Korean input method or WinRAR) to entice users into execution. The use of trusted channels and familiar software increases the likelihood of successful initial compromise, as targets may not suspect malicious intent. This technique leverages social engineering and the ubiquity of these platforms to bypass traditional security controls and reach a broad victim base.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1566/001/"", ""external_id"": ""T1566.001""}]",,attack-pattern--50969ca5-1ce0-f880-e51e-b05982ca72e6,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-18T20:27:50.711356Z,Malicious Software Delivered via Popular File Sharing and Messaging Platforms,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.711454Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"After the malicious installer is executed, it extracts and copies a legitimate 'white' program to the system, then creates a scheduled task to ensure this program is launched automatically. This approach leverages the trust associated with known benign executables to evade detection, while the scheduled task mechanism guarantees persistence across reboots and user sessions. The attacker disguises the persistence mechanism by using a legitimate program as the launcher, making it harder for defenders to identify abnormal activity. This method is a hallmark of APT-C-06’s efforts to maintain long-term access to compromised machines.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1053/005/"", ""external_id"": ""T1053.005""}]",,attack-pattern--88dcfda0-30cb-6f83-a147-d80650806f81,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-18T20:27:50.711454Z,Copying Legitimate Program and Creating Scheduled Task for Persistence,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.711512Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"The malware creates a new dllhost.exe process and injects shellcode into it using remote thread techniques. This injected shellcode is responsible for replacing the previously dropped legitimate program with the malicious installer, effectively hijacking the process for malicious purposes. By targeting dllhost.exe, a trusted Windows process, the attacker increases stealth and reduces the likelihood of detection by endpoint security solutions. This technique allows the threat actor to execute arbitrary code in the context of a legitimate process, facilitating further payload delivery and execution.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1055/001/"", ""external_id"": ""T1055.001""}]",,attack-pattern--47a545d2-179d-528d-c094-b4e1b888cf6f,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-18T20:27:50.711512Z,Process Injection via Remote Thread into dllhost.exe,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.711690Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"DarkSeal, the second-stage payload, is launched via a scheduled task that starts a legitimate program. It then leverages DLL hijacking to decrypt and load further malicious components. The decryption process uses a hardcoded XOR key to unlock encrypted payloads embedded within the malware. The decrypted data contains shellcode that is reflectively loaded into memory, followed by a PE file that implements the actual malicious functionality. This multi-stage loading process enables the attacker to modularize their malware, evade detection, and dynamically deploy new capabilities as needed.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1574/002/"", ""external_id"": ""T1574.002""}]",,attack-pattern--7fb1596b-5cc3-1c99-ea3d-94473a2b8935,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-18T20:27:50.711690Z,DLL Hijacking for Decrypting and Loading Additional Payloads,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.711797Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"Within the DarkSeal component, the attacker uses shellcode to perform reflective loading of PE files directly into memory. The shellcode, decrypted from an internal resource, first loads itself and then injects the actual functional payload (such as Meterpreter or Thinmon) without writing the executable to disk. This technique allows the threat actor to execute code stealthily, bypassing file-based detection mechanisms and leaving minimal forensic evidence. Reflective loading is a sophisticated method that enables flexible deployment of various capabilities while maintaining operational security.",,,attack-pattern--700bad8c-576e-a79b-8f0a-fa76711aced8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-18T20:27:50.711797Z,Reflective Loading of Shellcode and PE Payloads,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.712493Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"APT-C-06 employs a custom encryption scheme using a hardcoded XOR key to protect embedded payloads within their malware. All encrypted files are decrypted in-memory using this key before execution. This approach obfuscates the malicious components from static analysis and signature-based detection, complicating reverse engineering efforts. The use of a consistent, hardcoded key across campaigns suggests a standardized toolkit and operational discipline, allowing rapid deployment and update of payloads while maintaining secrecy.",,,attack-pattern--bd6e0da0-86b0-10d6-d037-0b8dcc94667c,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-18T20:27:50.712493Z,Hardcoded XOR Key for Payload Encryption and Decryption,,,2.1,,,attack-pattern,
,2026-01-18T20:27:50.712658Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"The ultimate stage of the attack involves the delivery and execution of advanced payloads such as Meterpreter or Thinmon. These components are loaded via the previously described reflective loading mechanism and provide the attacker with robust remote access, control, and post-exploitation capabilities. Meterpreter, for example, enables command execution, file transfer, and system manipulation, while Thinmon may offer specialized monitoring or data exfiltration features. The modularity of this approach allows APT-C-06 to tailor their operations to specific objectives and maintain flexibility in their attack chain.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1105/"", ""external_id"": ""T1105""}]",,attack-pattern--182cb842-ff8b-a8d7-aa43-448981d9c4f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-18T20:27:50.712658Z,Final Payload Delivery of Meterpreter or Thinmon Components,,,2.1,,,attack-pattern,
,2026-01-18T20:27:55.619477Z,identity--69c79c44-a2ba-5aea-bdd6-e99a028ecd41,"DarkSeal is a second-stage payload used by APT-C-06 (DarkHotel) for persistent access and remote control. It is loaded via DLL hijacking and executes further payloads, typically providing remote access and command execution capabilities.",,,malware--6863bf5d-cdf0-b874-32aa-49da67551917,,True,,"[""backdoor"", ""remote-access-trojan""]",2026-01-18T20:27:55.619477Z,DarkSeal,,,2.1,,,malware,"[""persistence"", ""remote-access"", ""command-and-control"", ""anti-analysis""]"
