aliases,confidence,created,created_by_ref,description,external_references,first_seen,id,identity_class,is_family,kill_chain_phases,last_seen,modified,name,object_marking_refs,revoked,spec_version,type,x_mitre_id,x_mitre_platforms,x_opencti_id,x_opencti_type
,,2017-06-01T00:00:00.000Z,,,,,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,organization,,,,2026-01-16T04:13:25.343Z,The MITRE Corporation,,,2.1,identity,,,3756e8e2-c76d-45e4-8015-7164f6bf852e,Organization
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"An adversary targets a specific user or group with a Phishing (CAPEC-98) attack tailored to a category of users in order to have maximum relevance and deceptive capability. Spear Phishing is an enhanced version of the Phishing attack targeted to a specific user or group. The quality of the targeted email is usually enhanced by appearing to come from a known or trusted entity. If the email account of some trusted entity has been compromised the message may be digitally signed. The message will contain information specific to the targeted users that will enhance the probability that they will follow the URL to the compromised site. For example, the message may indicate knowledge of the targets employment, residence, interests, or other information that suggests familiarity. As soon as the user follows the instructions in the message, the attack proceeds as a standard Phishing attack.","[{""source_name"": ""ATTACK"", ""description"": ""Phishing for Information: Spearfishing Service"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1598/001"", ""external_id"": ""T1598.001""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing: Spearfishing via Service"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1566/003"", ""external_id"": ""T1566.003""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing for Information: Spearfishing Attachment"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1598/002"", ""external_id"": ""T1598.002""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing for Information: Spearfishing Link"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1598/003"", ""external_id"": ""T1598.003""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing: Spearfishing Attachment"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1566/001"", ""external_id"": ""T1566.001""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/451.html"", ""external_id"": ""CWE-451""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/163.html"", ""external_id"": ""CAPEC-163""}, {""source_name"": ""ATTACK"", ""description"": ""Internal Spearfishing"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1534"", ""external_id"": ""T1534""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing: Spearfishing Link"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1566/002"", ""external_id"": ""T1566.002""}]",,attack-pattern--2aa544df-6e7c-5c5c-b870-b8a6a741f1b6,,,,,2026-01-16T04:14:47.264Z,Spear Phishing,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,defb5830-1a68-43f2-a1ec-194c14d9dbe1,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"Phishing is a social engineering technique where an attacker masquerades as a legitimate entity with which the victim might do business in order to prompt the user to reveal some confidential information (very frequently authentication credentials) that can later be used by an attacker. Phishing is essentially a form of information gathering or ""fishing"" for information.","[{""source_name"": ""ATTACK"", ""description"": ""Phishing for Information"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1598"", ""external_id"": ""T1598""}, {""source_name"": ""ATTACK"", ""description"": ""Phishing"", ""url"": ""https://attack.mitre.org/wiki/Technique/T1566"", ""external_id"": ""T1566""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Wireless Security - Bluejack a Victim, TutorialsPoint"", ""url"": ""https://www.tutorialspoint.com/wireless_security/wireless_security_bluejack_a_victim.htm"", ""external_id"": ""REF-656""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/98.html"", ""external_id"": ""CAPEC-98""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/451.html"", ""external_id"": ""CWE-451""}]",,attack-pattern--5e290919-629e-593d-9e43-6991fce07ce4,,,,,2026-01-16T04:14:46.999Z,Phishing,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,bad7961a-ea94-4f5a-847b-ca24e337f39e,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of links/buttons displayed to a user within API messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains links/buttons that point to an attacker controlled destination. Some applications make navigation remapping more difficult to detect because the actual HREF values of images, profile elements, and links/buttons are masked. One example would be to place an image in a user's photo gallery that when clicked upon redirected the user to an off-site location. Also, traditional web vulnerabilities (such as CSRF) can be constructed with remapped buttons or links. In some cases navigation remapping can be used for Phishing attacks or even means to artificially boost the page view, user site reputation, or click-fraud.","[{""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/602.html"", ""external_id"": ""CWE-602""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/346.html"", ""external_id"": ""CWE-346""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/386.html"", ""external_id"": ""CAPEC-386""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/471.html"", ""external_id"": ""CWE-471""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/345.html"", ""external_id"": ""CWE-345""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/311.html"", ""external_id"": ""CWE-311""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Tom Stracener, Sean Barnum, So Many Ways [...]: Exploiting Facebook and YoVille, 2010, Defcon 18"", ""external_id"": ""REF-327""}]",,attack-pattern--9b3b7555-09b5-5d67-a8c2-081349a46ddd,,,,,2026-01-16T04:14:06.328Z,Application API Navigation Remapping,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,871b9b10-d610-490a-9135-bf0c8550d425,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack can allow the attacker to gain unauthorized privileges within the application, or conduct attacks such as phishing, deceptive strategies to spread malware, or traditional web-application attacks. The techniques require use of specialized software that allow the attacker to perform adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system. Despite the use of AiTH software, the attack is actually directed at the server, as the client is one node in a series of content brokers that pass information along to the application framework. Additionally, it is not true ""Adversary-in-the-Middle"" attack at the network layer, but an application-layer attack the root cause of which is the master applications trust in the integrity of code supplied by the client.","[{""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/602.html"", ""external_id"": ""CWE-602""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/384.html"", ""external_id"": ""CAPEC-384""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/346.html"", ""external_id"": ""CWE-346""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/471.html"", ""external_id"": ""CWE-471""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/345.html"", ""external_id"": ""CWE-345""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/311.html"", ""external_id"": ""CWE-311""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Tom Stracener, Sean Barnum, So Many Ways [...]: Exploiting Facebook and YoVille, 2010, Defcon 18"", ""external_id"": ""REF-327""}]",,attack-pattern--cad7c693-6987-56f6-98b5-cb24aa60a234,,,,,2026-01-16T04:14:06.092Z,Application API Message Manipulation via Man-in-the-Middle,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,f11236bf-15ba-4a1f-b3ee-b9f3c63d972f,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"A Principal Spoof is a form of Identity Spoofing where an adversary pretends to be some other person in an interaction. This is often accomplished by crafting a message (either written, verbal, or visual) that appears to come from a person other than the adversary. Phishing and Pharming attacks often attempt to do this so that their attempts to gather sensitive information appear to come from a legitimate source. A Principal Spoof does not use stolen or spoofed authentication credentials, instead relying on the appearance and content of the message to reflect identity.","[{""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/195.html"", ""external_id"": ""CAPEC-195""}]",,attack-pattern--b58a338b-9aa6-588e-9294-debaf8bd8851,,,,,2026-01-16T04:14:05.372Z,Principal Spoof,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,9a4469a8-f0b6-4455-8f90-878a8ac7d7c5,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"Educate designers, developers, engineers, etc. on social engineering attacks to avoid downloading malicious software via attacks such as phishing attacks",,,course-of-action--75bb13dd-2225-5993-8c26-a5c069bd25cb,,,,,2026-01-16T04:13:56.922Z,coa-537-3,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,course-of-action,,,43f1caa4-8ab9-4ac4-b02c-7fd6975073f8,Course-Of-Action
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"SOA and Web Services often use a registry to perform look up, get schema information, and metadata about services. A poisoned registry can redirect (think phishing for servers) the service requester to a malicious service provider, provide incorrect information in schema or metadata, and delete information about service provider interfaces.","[{""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/74.html"", ""external_id"": ""CWE-74""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/51.html"", ""external_id"": ""CAPEC-51""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/285.html"", ""external_id"": ""CWE-285""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/693.html"", ""external_id"": ""CWE-693""}]",,attack-pattern--b676b7a7-32cf-574c-adbc-89cbbd363f4b,,,,,2026-01-16T04:13:38.761Z,Poison Web Service Registry,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,4d9c163c-b577-472f-aa85-011bcc895bb2,Attack-Pattern
,75,2014-06-23T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"An adversary targets mobile phone users with a phishing attack for the purpose of soliciting account passwords or sensitive information from the user. Mobile Phishing is a variation of the Phishing social engineering technique where the attack is initiated via a text or SMS message, rather than email. The user is enticed to provide information or visit a compromised web site via this message. Apart from the manner in which the attack is initiated, the attack proceeds as a standard Phishing attack.","[{""source_name"": ""reference_from_CAPEC"", ""description"": ""Ansgar Kellner, Micha Horlboge, Konrad Rieck, Christian Wressnegger, False Sense of Security: A Study on the Effectivity of Jailbreak Detection in Banking Apps, 2019--06---17, Technische Universität Braunschweig"", ""url"": ""https://cybersecurity.att.com/blogs/security-essentials/mobile-phishing"", ""external_id"": ""REF-593""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/164.html"", ""external_id"": ""CAPEC-164""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Jovi Umawing, Something else is phishy: How to detect phishing attempts on mobile phones , 2018--12---10, Malwarebytes"", ""url"": ""https://blog.malwarebytes.com/101/2018/12/something-else-phishy-detect-phishing-attempts-mobile/"", ""external_id"": ""REF-592""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""What is smishing?, 2018--01---18, NortonLifeLock Inc."", ""url"": ""https://us.norton.com/internetsecurity-emerging-threats-what-is-smishing.html"", ""external_id"": ""REF-590""}, {""source_name"": ""cwe"", ""url"": ""http://cwe.mitre.org/data/definitions/451.html"", ""external_id"": ""CWE-451""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Ben Martens, 11 Facts + Stats on Smishing (SMS Phishing) in 2021, 2021, SafetyDetectives"", ""url"": ""https://www.safetydetectives.com/blog/what-is-smishing-sms-phishing-facts/"", ""external_id"": ""REF-696""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""What is Smishing and How to Defend Against it?, AO Kaspersky Lab"", ""url"": ""https://usa.kaspersky.com/resource-center/threats/what-is-smishing-and-how-to-defend-against-it"", ""external_id"": ""REF-591""}]",,attack-pattern--91b36f86-7550-5b3e-9d9b-8437fcc36ca6,,,,,2026-01-16T04:13:35.000Z,Mobile Phishing,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,034c01cd-b258-4179-91b7-8b8c48c9a346,Attack-Pattern
,75,2020-12-17T00:00:00.000Z,identity--f11b0831-e7e6-5214-9431-ccf054e53e94,"An adversary targets users with a phishing attack for the purpose of soliciting account passwords or sensitive information from the user. Voice Phishing is a variation of the Phishing social engineering technique where the attack is initiated via a voice call, rather than email. The user is enticed to provide sensitive information by the adversary, who masquerades as a legitimate employee of the alleged organization. Voice Phishing attacks deviate from standard Phishing attacks, in that a user doesn't typically interact with a compromised website to provide sensitive information and instead provides this information verbally. Voice Phishing attacks can also be initiated by either the adversary in the form of a ""cold call"" or by the victim if calling an illegitimate telephone number.","[{""source_name"": ""reference_from_CAPEC"", ""description"": ""Jovi Umawing, Something else is phishy: How to detect phishing attempts on mobile phones , 2018--12---10, Malwarebytes"", ""url"": ""https://blog.malwarebytes.com/101/2018/12/something-else-phishy-detect-phishing-attempts-mobile/"", ""external_id"": ""REF-592""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""What Is Vishing?, AO Kaspersky Lab"", ""url"": ""https://www.kaspersky.com/resource-center/definitions/vishing"", ""external_id"": ""REF-595""}, {""source_name"": ""capec"", ""url"": ""https://capec.mitre.org/data/definitions/656.html"", ""external_id"": ""CAPEC-656""}, {""source_name"": ""reference_from_CAPEC"", ""description"": ""Boyang Du, Matteo Sonza Reorda, Luca Sterpone, Luis Parra, Marta Portela-Garcia, Almudena Lindoso, Luis Entrena, Exploiting the debug interface to support on-line test of control flow errors, 2013--07---08, Institute of Electrical and Electronics Engineers (IEEE)"", ""url"": ""https://ieeexplore.ieee.org/document/6604058/authors#authors"", ""external_id"": ""REF-594""}]",,attack-pattern--8c71e67f-fa61-503d-ac7d-3bd087ce1a9d,,,,,2026-01-16T04:13:34.971Z,Voice Phishing,"[""marking-definition--19f87eda-4d8a-5e84-8dae-8e840e94cf2e""]",False,2.1,attack-pattern,,,7100f18e-3483-4021-b56d-18899f3ae051,Attack-Pattern
