aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-17T20:53:33.355015Z,,AhnLab SEcurity intelligence Center (ASEC) is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,organization,,,,2026-01-17T20:53:33.355015Z,AhnLab SEcurity intelligence Center (ASEC),,,2.1,,,identity,
,2026-01-17T20:53:33.355015Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T20:53:33.355015Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-17T20:53:53.128125Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"In this campaign, attackers likely gained initial access to Windows IIS web servers by deploying web shells. The evidence shows that malicious commands were executed via the 'w3wp.exe' process, which is the IIS worker process, indicating that the attackers leveraged a web shell to interact with the compromised server. Through this web shell, they were able to execute various system commands to enumerate users, sessions, network connections, running processes, and system information. The web shell provided persistent remote access and control, enabling the attackers to further their objectives on the compromised host.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1505/003/"", ""external_id"": ""T1505.003""}]",,attack-pattern--180be54f-28b7-267c-e4a3-a90330342356,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T20:53:53.128125Z,Web Shell Deployment for Remote Command Execution,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128208Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"After gaining access to the IIS server, the attackers used PowerShell to download additional malicious payloads from external sources. This technique allowed them to fetch and execute files such as TigerRAT, ProcDump, PetitPotato, and PrintSpoofer directly on the compromised system. By leveraging PowerShell, which is a trusted and commonly used administrative tool, the attackers were able to evade basic security controls and execute their malware without raising immediate suspicion. This step facilitated the deployment of multiple attack tools for further exploitation and post-compromise activities.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1059/001/"", ""external_id"": ""T1059.001""}]",,attack-pattern--b1397215-1f4e-29f7-4790-bac6266668b8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:53:53.128208Z,PowerShell Abuse for Payload Download and Execution,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128262Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"The attackers utilized privilege escalation tools such as PetitPotato and PrintSpoofer on compromised Windows web servers. These tools exploit specific vulnerabilities in Windows privilege management to elevate the attacker's privileges from a lower-level user to SYSTEM or administrator. By running these exploits, the attackers gained higher-level access, which enabled them to bypass security restrictions, access sensitive resources, and deploy additional payloads with elevated permissions. This step was crucial for maintaining persistence and executing further malicious activities on the server.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1068/"", ""external_id"": ""T1068""}]",,attack-pattern--e30bb176-cdb3-ed72-fd32-347a939dcbcf,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",,2026-01-17T20:53:53.128262Z,Privilege Escalation via Potato Exploit Tools,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128312Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"In this campaign, attackers used ProcDump, a legitimate Windows Sysinternals tool, to dump process memory and extract credentials from the compromised server. ProcDump was likely used to target the LSASS process, which stores authentication credentials in memory. By obtaining these credentials, the attackers could move laterally within the network or access additional resources. This technique demonstrates the abuse of legitimate tools for malicious purposes, making detection more challenging for defenders.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1003/001/"", ""external_id"": ""T1003.001""}]",,attack-pattern--5165ba5f-d72c-9ffd-5682-dbc0ec6ed080,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-17T20:53:53.128312Z,Credential Dumping Using ProcDump,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128361Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"The attackers installed TigerRAT, a custom backdoor used by the Andariel group, on compromised IIS servers. TigerRAT enables remote command execution, keylogging, SOCKS tunneling, and screen capture functionalities. It communicates with a command-and-control (C&C) server using a custom authentication protocol, where specific request and response strings are exchanged before commands are accepted. This backdoor provides persistent remote access and allows attackers to maintain control over the compromised system, exfiltrate data, and perform additional malicious actions.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1105/"", ""external_id"": ""T1105""}]",,attack-pattern--182cb842-ff8b-a8d7-aa43-448981d9c4f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:53:53.128361Z,Backdoor Deployment with TigerRAT,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128439Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"TigerRAT employs a unique authentication protocol when establishing communication with its C&C server. Before accepting commands, the RAT sends a specific request string ('HTTP 1.1 /index.php?member=sbi2009 SSL3.3.7') and expects a particular response ('HTTP 1.1 200 OK SSL2.1'). This handshake ensures that only legitimate C&C servers can issue commands to the backdoor, making it harder for defenders to hijack or disrupt the communication channel. This custom protocol is a distinguishing feature of TigerRAT and is reused across multiple campaigns by the Andariel group.",,,attack-pattern--c7a58671-7a5f-0ee0-61aa-e10672461736,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T20:53:53.128439Z,Custom C&C Authentication Protocol in TigerRAT,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.128485Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"After deploying TigerRAT and conducting malicious activities, the attackers deleted Windows event logs on the compromised server. This action was intended to erase evidence of their intrusion, command execution, and privilege escalation activities. By removing these logs, the attackers hindered forensic investigations and made it more difficult for defenders to reconstruct the attack timeline or identify the methods used. This step is a common defense evasion tactic to cover tracks and prolong the attacker's presence on the system.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1070/001/"", ""external_id"": ""T1070.001""}]",,attack-pattern--025016b0-19ea-9bc7-41f0-df32c5334b60,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-17T20:53:53.128485Z,Event Log Deletion for Defense Evasion,,,2.1,,,attack-pattern,
,2026-01-17T20:53:53.129245Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"The attackers executed a series of native Windows commands (such as 'query', 'whoami', 'qwinsta', 'netstat', 'tasklist', 'systeminfo', 'ipconfig', 'query user', and 'appcmd list apppool') to gather information about the compromised server. These commands provided details on user sessions, network connections, running processes, system configuration, and IIS application pools. This reconnaissance allowed the attackers to assess the environment, identify valuable targets, and plan subsequent actions such as privilege escalation or lateral movement.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1082/"", ""external_id"": ""T1082""}]",,attack-pattern--1aadd1c4-0f97-4195-587d-67d229fb8ce1,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""discovery""}]",,2026-01-17T20:53:53.129245Z,System and Network Discovery via Native Commands,,,2.1,,,attack-pattern,
