summary,id,type
"The object contains information about a threat intelligence report published by the AhnLab SEcurity intelligence Center (ASEC). The publisher of this report is not specified, but it has been marked as STIXed for TI Mindmap HUB. 

The organization behind this report is classified under the identity_class 'organization', indicating that it represents an entity or group rather than a single individual. Additionally, there are no specific aliases associated with this threat intelligence report.

Regarding the motivations and sophistication level of the threat actor behind this report, they are unknown due to the presence of nan values in the corresponding fields. Furthermore, information about malware types, kill chain phases, primary motivation, and tool types is also not available.

A version specification for this threat intelligence report indicates that it follows STIX spec version 2.1. However, details about external references, goals, threat actor types, and x-capabilities are missing from the data.",identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,identity
"The object contains information about a threat intelligence platform called TI Mindmap HUB. This AI-powered platform is capable of generating STIX bundles from Open-Source Intelligence (OSINT) sources. The primary function of the platform is to analyze and process OSINT data, thereby providing valuable insights into potential threats.",identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,identity
"The object contains information about an attack pattern known as 'Web Shell Deployment for Remote Command Execution'. Attackers are likely to gain initial access to Windows IIS web servers by deploying web shells, which are then used to execute malicious commands via the 'w3wp.exe' process. This approach allows attackers to interact with the compromised server and gain persistent remote access and control.

The web shell enables attackers to enumerate users, sessions, network connections, running processes, and system information. The evidence collected suggests that the attackers leveraged a web shell to interact with the compromised server, which is a common technique used in cyberattacks. 

Further analysis indicates that this attack pattern fits into the 'initial-access' phase of the MITRE ATT&CK framework.",attack-pattern--180be54f-28b7-267c-e4a3-a90330342356,attack-pattern
"The object contains information about an attack pattern involving the abuse of PowerShell for downloading and executing malicious payloads. The attackers gained access to the IIS server, leveraging its trusted status as an administrative tool to evade basic security controls.

Using PowerShell allowed the attackers to download additional malicious payloads from external sources directly on the compromised system. This technique enabled them to fetch and execute files such as TigerRAT, ProcDump, PetitPotato, and PrintSpoofer without raising immediate suspicion. The use of PowerShell facilitated the deployment of multiple attack tools for further exploitation and post-compromise activities.

The attackers used this technique to fetch and execute malicious payloads, allowing them to evade security controls and carry out their attacks without detection. This step in the attack pattern is linked to a specific Mitre-Attack Technique (T1059/001), indicating that it is part of a known exploit.",attack-pattern--b1397215-1f4e-29f7-4790-bac6266668b8,attack-pattern
"The object contains information about a specific attack pattern known as ""Privilege Escalation via Potato Exploit Tools."" This type of attack involves the use of privilege escalation tools, such as PetitPotato and PrintSpoofer, to exploit vulnerabilities in Windows privilege management and gain elevated access on compromised web servers.

The attackers utilized these tools to elevate their privileges from a lower-level user to SYSTEM or administrator, which enabled them to bypass security restrictions and access sensitive resources. This step was crucial for maintaining persistence and executing further malicious activities on the server.

The attack pattern is categorized under the MITRE Attack framework and is identified as T1068. The goal of this attack is not explicitly stated in the provided data, but it is clear that the primary objective is to gain elevated access to a system or network in order to conduct further malicious activities.

It's worth noting that this attack pattern does not provide specific information about the malware types involved or the sophistication level required for execution. The only reference to external sources is a link to the MITRE Attack framework, which provides more detailed information on the technique and its associated threat actors.",attack-pattern--e30bb176-cdb3-ed72-fd32-347a939dcbcf,attack-pattern
"The object contains information about a specific attack pattern known as ""Credential Dumping Using ProcDump."" This technique involves using the legitimate Windows Sysinternals tool ProcDump to dump process memory and extract credentials from a compromised server. The attackers likely targeted the LSASS process, which stores authentication credentials in memory, in order to obtain these credentials and move laterally within the network or access additional resources.

This attack pattern is notable for demonstrating the abuse of legitimate tools for malicious purposes, making it more challenging for defenders to detect. It is classified as a type of credential-access attack and falls under the category of the MITRE ATT&CK framework, which categorizes attacks based on their tactics, techniques, and procedures.

The technique was identified through an external reference to the MITRE ATT&CK framework, where it is listed as T1003.001. This indicates that the attack pattern has been extensively documented and analyzed by cybersecurity researchers and experts.

Overall, the ""Credential Dumping Using ProcDump"" attack pattern highlights the importance of vigilance when using legitimate tools, as they can be repurposed for malicious intent if not used correctly.",attack-pattern--5165ba5f-d72c-9ffd-5682-dbc0ec6ed080,attack-pattern
"The object contains information about a specific attack pattern known as ""Backdoor Deployment with TigerRAT"". This type of attack involves the installation of a custom backdoor, specifically TigerRAT, on compromised IIS servers. The attackers use this backdoor to enable remote command execution, keylogging, SOCKS tunneling, and screen capture functionalities.

TigerRAT is a malicious tool that allows the attackers to maintain control over the compromised system, exfiltrate data, and perform additional malicious actions. It communicates with a command-and-control (C&C) server using a custom authentication protocol, where specific request and response strings are exchanged before commands are accepted.

The attack pattern is associated with a technique known as T1105 in the Mitre Attack catalog. The backdoor provides persistent remote access to the compromised system, allowing attackers to maintain control and perform malicious activities.",attack-pattern--182cb842-ff8b-a8d7-aa43-448981d9c4f7,attack-pattern
"The object contains information about a custom command-and-control (C&C) authentication protocol used by the TigerRAT malware. This unique authentication method involves sending a specific request string to the C&C server and expecting a particular response, which ensures that only legitimate servers can issue commands to the backdoor, making it harder for defenders to hijack or disrupt the communication channel.

The custom protocol is a distinguishing feature of the TigerRAT malware and is reused across multiple campaigns by the Andariel group. This suggests that the group values consistency in their tactics and tools, which can be useful information for security professionals trying to understand and respond to their activities.

The protocol's purpose is not explicitly stated, but it appears to be a means of authenticating communication between the malware and its C&C server, with the ultimate goal of maintaining control over infected systems. This authentication process likely serves as an additional layer of security, making it more difficult for attackers to take control of compromised machines.

The lack of detailed information about the protocol's inner workings or its potential vulnerabilities makes it challenging to assess its overall impact on the security posture of organizations that may be targeted by the TigerRAT malware. However, understanding the existence and nature of this custom authentication protocol can provide valuable insights into the tactics, techniques, and procedures (TTPs) employed by the Andariel group.

Overall, the object provides a unique glimpse into the tactics used by sophisticated threat actors like the Andariel group to maintain control over compromised systems.",attack-pattern--c7a58671-7a5f-0ee0-61aa-e10672461736,attack-pattern
"The object contains information about an attack pattern known as ""Event Log Deletion for Defense Evasion"". This attack involves deleting Windows event logs on a compromised server, which is typically done to erase evidence of the attackers' intrusion, command execution, and privilege escalation activities. By removing these logs, defenders are hindered in their ability to reconstruct the attack timeline or identify the methods used by the attackers.

This step is a common defense evasion tactic, as it allows attackers to cover their tracks and prolong their presence on the system. The attack pattern was identified as T1070/001 in the Mitre Attack database, which highlights the techniques and tactics used by attackers to evade detection.

The primary goal of this attack pattern is to defend against security controls, specifically by deleting logs that could be used to detect and respond to the attack. It is considered a sophisticated tactic, as it requires careful planning and execution to remove all evidence of the attack.",attack-pattern--025016b0-19ea-9bc7-41f0-df32c5334b60,attack-pattern
"The object contains information about an attack pattern classified as 'System and Network Discovery via Native Commands'. The attackers executed a series of native Windows commands to gather information about the compromised server, including details on user sessions, network connections, running processes, system configuration, and IIS application pools. This reconnaissance allowed the attackers to assess the environment, identify valuable targets, and plan subsequent actions such as privilege escalation or lateral movement.

The attack pattern was identified through an external reference from Mitre-Attack, which provided information on a similar technique identified as T1082. The attack pattern falls under the Mitre-Attack kill chain phase named ""discovery"". There is no specific malware type associated with this attack pattern, but rather it relies on native Windows commands to gather information.

The primary motivation for this attack pattern is not explicitly stated, and the sophistication level of the attackers involved is also unknown. The object does not provide further details on the tool types used or the threat actor types responsible for this attack.",attack-pattern--1aadd1c4-0f97-4195-587d-67d229fb8ce1,attack-pattern
